numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
199612340K;LITTORAL, ENVIRONNEMENT, TELEDETECTION, GEOMATIQUE;LETG;Active;1996;;Unité mixte;22;2;;;;
197812342R;LABORATOIRE DES BIOMEMBRANES ET SIGNALISATION CELLULAIRE;UMR6558;Inactive;1978;2003;Unité mixte;22;2;200412242U;F;fusion;2004
199612344P;CENTRE D'ETUDE DES CORRESPONDANCES ET JOURNAUX INTIMES DES 19E ET 20E SIECLES;UMR6563;Inactive;1996;2011;Unité mixte;22;2;;;;
199612352Y;INSTITUT DE RECHERCHE SUR LE SUD-EST ASIATIQUE;UMR6571;Inactive;1996;2011;Unité propre;21;2;;;;
199612355B;CENTRE DE RECHERCHE ET DE DOCUMENTATION SUR L'OCEANIE (CREDO);UMR6574;Inactive;1996;2011;Unité mixte;22;2;;;;
199412356L;ARCHEOLOGIE ET TERRITOIRES;UMR6575;Inactive;1994;2003;Unité mixte;22;2;;;;
199712620K;Chimie de la Matière Condensée de Paris;LCMCP;Active;1997;;Unité mixte;22;2;201420753B;SF;essaimage-fusion;2014
199712622M;CHIMIE ET BIOCHIMIE DES COMPLEXES MOLECULAIRES;UMR7576;Inactive;1997;2009;Unité mixte;22;2;;;;
199712623N;GEOMAGNETISME ET PALEOMAGNETISME;UMR7577;Inactive;1997;2004;Unité mixte;22;2;;;;
198512628W;LABORATOIRE ELECTROCHIMIE, CATALYSE ET SYNTHESE ORGANIQUE (LECSO);UMR7582;Inactive;1985;2006;Unité mixte;22;2;200712561C;F;fusion;2007
199412629H;Laboratoire Inter-universitaire des Systèmes Atmosphèriques;LISA;Active;1997;;Unité mixte;22;2;;;;
199312649J;LABORATOIRE D'ACOUSTIQUE MUSICALE (LAM)(AVEC LE MINISTERE DE LA CULTURE);UMR7604;Inactive;1993;2006;Unité mixte;22;2;200712566H;F;fusion;2007
199712652V;LABORATOIRE DE MODELISATION EN MECANIQUE;UMR7607;Inactive;1997;2006;Unité mixte;22;2;200712566H;F;fusion;2007
199712658B;SYNTHESE, STRUCTURE ET FONCTION DE MOLECULES BIOACTIVES;UMR7613;Inactive;1997;2008;Unité mixte;22;2;;;;
199712659C;Laboratoire de Chimie Physique - Matière et Rayonnement;LCPMR;Active;1997;;Unité mixte;22;2;;;;
200212679C;LABORATOIRE D'OPTIQUE APPLIQUEE;UMR7639;Inactive;2002;2005;Unité mixte;22;2;;;;
200212683G;LABORATOIRE DE STRUCTURE ET PROPRIETES DE L'ETAT SOLIDE;UMR8008;Inactive;2002;2009;Unité mixte;22;2;;;;
200212695V;LABORATOIRE D'AUTOMATIQUE ET D' INFORMATIQUE INDUSTRIELLE DE LILLE (LAIL);UMR8021;Inactive;2002;2003;Unité mixte;22;2;200412802C;F;fusion;2004
200212701B;Institut de mécanique céleste et de calcul des éphémérides;IMCCE;Active;2000;;Unité mixte;22;2;;;;
200012703M;Génomique Métabolique;GM;Active;2000;;Unité mixte;22;2;;;;
201221777Y;MetaGénoPolis;MGP;Active;2012;;Unité propre;21;2;;;;
200112483U;Institut d'astrophysique de Paris;IAP;Active;2001;;Unité mixte;22;2;;;;
200112484V;DEPARTEMENT DE GEOPHYSIQUE  SPATIALE ET PLANETAIRE;UMR7096;Inactive;2001;2004;Unité mixte;22;2;;;;
200112488Z;NEUROBIOLOGIE DES SIGNAUX INTERCELLULAIRES;UMR7101;Inactive;2001;2008;Unité mixte;22;2;;;;
200112489A;NEUROBIOLOGIE DES PROCESSUS ADAPTATIFS;NPA;Inactive;2001;2013;Unité mixte;22;2;"201420752A;201420756E";"EF;EF";"éclatement - fusion;éclatement - fusion";"2014;2014"
200112493E;Centre d'Etudes et de Recherches de Sciences Administratives et Politiques;CERSA;Active;2001;;Unité mixte;22;2;;;;
200112499L;CULTURES ET SOCIETES URBAINES;UMR7112;Inactive;2001;2008;Unité mixte;22;2;200918478A;R;renouvellement;2009
200312522C;LABORATOIRE INTERACTIONS MICROORGANISMES-MINERAUX-MATIERE ORGANIQUE DANS LES SOLS;UMR7137;Inactive;2003;2012;Unité mixte;22;2;201320576N;EF;éclatement - fusion;2013
200512538L;ETHOLOGIE EXPERIMENTALE ET COMPAREE;UMR7153;Inactive;2005;2009;Unité mixte;22;2;;;;
200512541P;ASTROPHYSIQUE INTERACTIONS MULTI-ÉCHELLES (AIM);UMR7158;Inactive;2005;2008;Unité mixte;22;2;;;;
200512552B;Institut de recherche Interdisciplinaire en Sociologie, Economie et Science Politique (IRISSO);IRISSO;Active;2005;;Unité mixte;22;2;;;;
200512553C;ECRITURES DE LA MODERNITE;UMR7171;Inactive;2005;2008;Unité mixte;22;2;200918453Y;R;renouvellement;2009
200512554D;LABORATOIRE D'ETHNOMUSICOLOGIE;UMR7173;Inactive;2005;2008;Unité mixte;22;2;;;;
200612558D;Mécanismes Adaptatifs et Evolution;MECADEV;Active;2006;;Unité mixte;22;2;;;;
200712561C;Institut de Chimie et des Matériaux Paris-Est;ICMPE;Active;2006;;Unité mixte;22;2;;;;
200712564F;CENTRE DE RECHERCHE SUR LA CONSERVATION DES COLLECTIONS;UMR7188;Inactive;2007;2008;Unité mixte;22;2;;;;
198812576B;LABORATOIRE DE RMN;UMR7510;Inactive;1988;2000;Unité mixte;22;2;;;;
199612577T;SCIENCES ANALYTIQUES ET INTERACTIONS IONIQUES, MOLÉCULAIRES ET BIOMOLÉCULAIRES;UMR7512;Inactive;1996;2005;Unité mixte;22;2;200612557C;F;fusion;2006
199712578P;LABORATOIRE DE CHIMIE DES METAUX DE TRANSITION;UMR7513;Inactive;1997;2004;Unité mixte;22;2;;;;
200212724B;CENTRE DE RECHERCHES POLITIQUES DE LA SORBONNE (CRPS);UMR8057;Inactive;2002;2009;Unité mixte;22;2;;;;
200212727E;Centre Léon Robin de recherche sur la pensée antique;CRPA;Active;2002;;Unité mixte;22;2;;;;
200212729G;ESPACE ET CULTURE;UMR8064;Inactive;2002;2003;Unité mixte;22;2;;;;
200212731J;LABORATOIRE DE PSYCHOLOGIE ENVIRONNEMENTALE;UMR8069;Inactive;2002;2009;Unité mixte;22;2;;;;
200012733V;HISTOIRE DE LA FRANCE AU XIX eme SIECLE;UMR8072;Inactive;2000;2001;Unité mixte;22;2;;;;
200212736P;CATALYSE MOLECULAIRE;UMR8075;Inactive;2002;2005;Unité mixte;22;2;200612829Y;F;fusion;2006
199712590C;CENTRE DE RECHERCHE ET DE DOCUMENTATION SUR L'AMERIQUE LATINE (CREDAL);UMR7530;Inactive;1997;2000;Unité mixte;22;2;200117255F;R;renouvellement;2001
199712594G;THEORIE ECONOMIQUE, MODELISATION ET APPLICATIONS (THEMA);UMR7536;Inactive;1997;2004;Unité mixte;22;2;;;;
199712603S;LABORATOIRE DE CHIMIE QUANTIQUE ET MODELISATION MOLECULAIRE;UMR7551;Inactive;1997;2004;Unité mixte;22;2;;;;
199812948M;Laboratoire de Recherche en Informatique;LRI;Inactive;1998;2020;Unité mixte;22;2;"202123711L;202123712M";"EF;EF";"éclatement - fusion;éclatement - fusion";"2021;2021"
199812957X;DEPARTEMENT DE RECHERCHE SPATIALE - DESPA;UMR8632;Inactive;1998;2001;Unité mixte;22;2;200212766X;F;fusion;2002
199812959Z;LABORATOIRE DE MAGNETISME ET D'OPTIQUE DE VERSAILLES;UMR8634;Inactive;1998;2005;Unité mixte;22;2;;;;
199812965F;Processus d'Activation Sélectif par Transfert d'Energie Uni-électronique ou Radiatif;PASTEUR;Active;1998;;Unité mixte;22;2;;;;
199812968J;ASTRONOMIE RADIOPLANETAIRE, COMETAIRE, EXTRAGALACTIQUE, GALACTIQUE ET STELLAIRE - ARPEGES;UMR8644;Inactive;1998;2001;Unité mixte;22;2;200212768Z;F;fusion;2002
200012752R;LE MONDE INSULINDIEN;UMR8093;Inactive;2000;2005;Unité mixte;22;2;;;;
200012753S;Langues, textes, traitements informatiques, cognition;LATTICE;Active;2000;;Unité mixte;22;2;;;;
200012754T;CENTRE DE RECHERCHES DE MATHEMATIQUES, STATISTIQUE ET ECONOMIE MATHEMATIQUES (CERMSEM);UMR8095;Inactive;2000;2005;Unité mixte;22;2;200612823S;F;fusion;2006
200212762T;Laboratoire de l'Atmosphère et des Cyclones;LACY;Active;2002;;Unité mixte;22;2;;;;
200212774F;Physiologie cérébrale;;Inactive;2002;2018;Unité mixte;22;2;201922963G;EF;éclatement - fusion;2019
201521772E;Simulation for the Environment: Reliable and Efficient Numerical Algorithms;SERENA;Active;2015;2022;Unité propre;21;2;;;;
199812917D;Laboratoire de Médiévistique Occidentale de Paris;LAMOP;Active;1998;;Unité mixte;22;2;;;;
199812921H;LABORATOIRE GEORGES FRIEDMANN;UMR8593;Inactive;1998;2009;Unité mixte;22;2;;;;
199812926N;Groupe d'étude des méthodes de l'analyse sociologique de la Sorbonne;GEMASS;Active;1998;;Unité mixte;22;2;;;;
199812932V;LABORATOIRE COGNITION ET DEVELOPPEMENT;UMR8605;Inactive;1998;2005;Unité mixte;22;2;;;;
200212785T;Institut Jean-Nicod;;Active;2002;;Unité mixte;22;2;;;;
200212792A;CENTRE DE RECHERCHE PSYCHOTROPES, SANTE MENTALE, SOCIETE (CESAMES);UMR8136;Inactive;2002;2005;Unité mixte;22;2;200617052N;R;renouvellement;2006
200312800E;Parallélisme, Réseaux, Systèmes, Modélisation;PRiSM;Inactive;2003;2015;Unité mixte;22;2;"201622145F;201622146G";"E;E";"éclatement;éclatement";"2016;2016"
200612807Z;ETAT, RELIGION ET SOCIETE DANS L'EGYPTE ANCIENNE ET EN NUBIE;UMR8152;Inactive;2006;2009;Unité mixte;22;2;;;;
200612808A;Centre de Recherche sur les Civilisations de l'Asie Orientale;C.R.C.A.O.;Active;2006;;Unité mixte;22;2;;;;
200812810U;GEOSYSTEMES;UMR8157;Inactive;2008;2009;Unité mixte;22;2;;;;
200612825U;Institut Marcel MAUSS;;Inactive;2006;2018;Unité mixte;22;2;"201922968M;201922970P";"E;E";"éclatement;éclatement";"2019;2019"
200812835W;CRIL - Centre de Recherche en Informatique de Lens;UMR 8188;Active;2008;;Unité mixte;22;2;;;;
199812839U;ANALYSE DE CORPUS : LINGUISTIQUE, USAGES ET TRAITEMENTS;UMR8503;Inactive;1998;2001;Unité mixte;22;2;;;;
199812840V;Géographie-cités;;Active;1998;;Unité mixte;22;2;;;;
199812848D;SAVOIRS ET TEXTES;UMR8519;Inactive;1998;2005;Unité mixte;22;2;200612815H;F;fusion;2006
199812855L;IMMUNOPATHOLOGIE CELLULAIRE DES MALADIES INFECTIEUSES;UMR8527;Inactive;1998;2005;Unité mixte;22;2;;;;
199812865X;Laboratoire de Photonique Quantique et Moléculaire;LPQM;Active;1998;;Unité mixte;22;2;;;;
199812870C;DEVELOPPEMENT ET EVOLUTION DU SYSTEME NERVEUX;UMR8542;Inactive;1998;2013;Unité mixte;22;2;;;;
199812874G;Archéologie et philologie d'Orient et d'Occident;AOROC;Active;1998;;Unité mixte;22;2;;;;
199812875H;Pays germaniques (Histoire, Culture, Philosophie) - Transferts Culturels / Archives Husserl de Paris;;Active;1998;;Unité mixte;22;2;;;;
199812880N;Laboratoire Kastler Brossel;LKB;Active;1998;;Unité mixte;22;2;;;;
199812887W;MEDECINE, SCIENCES, SANTE ET SOCIETE (en commun avec INSERM);UMR8559;Inactive;1998;2001;Unité mixte;22;2;;;;
199812889Y;CENTRE D'ETUDE SUR LA CHINE MODERNE ET CONTEMPORAINE;UMR8561;Inactive;1998;2005;Unité mixte;22;2;;;;
199812893C;EMPIRES, SOCIETES, NATIONS : AMERIQUE LATINE ET MEDITERRANEE OCCIDENTALE. XV-XX EME SIECLE (ESNA);UMR8565;Inactive;1998;2005;Unité mixte;22;2;200612820N;F;fusion;2006
199812896F;Centre international de recherche sur l'environnement et le développement;CIRED;Active;1998;;Unité mixte;22;2;;;;
199812902M;LABORATOIRE D'ETHNOMUSICOLOGIE;UMR8574;Inactive;1998;2004;Unité mixte;22;2;;;;
199812908U;Structures, propriétés et modélisation des solides;SPMS;Active;1998;;Unité mixte;22;2;;;;
199213015L;HISTOIRE DE L'ART MODERNE ET CONTEMPORAIN;EA126;Inactive;1992;2005;Unité propre;21;2;200614215E;F;fusion;2006
199213021T;CENTRE DE RECHERCHES EN DROIT CONSTITUTIONNEL;EA137;Inactive;1992;2013;Unité propre;21;2;;;;
199213023V;CENTRE D'ETUDES DES RELATIONS PRIVEES INTERNATIONALES (CERPI);EA140;Inactive;1992;2007;Unité propre;21;2;;;;
199213026Y;GROUPE DE RECHERCHES EPISTEMOLOGIQUES ET SOCIO-ECONOMIQUES (GRESE);EA148;Inactive;1992;2000;Unité propre;21;2;200114738V;EF;éclatement - fusion;2001
199213031D;CENTRE DE RECHERCHE DE DROIT INTERNATIONAL PRIVE;EA165;Inactive;1992;2004;Unité propre;21;2;;;;
199213039M;POETIQUE ET GENETIQUE DU TEXTE ROMANESQUE;EA175;Inactive;1992;2000;Unité propre;21;2;"200114699C;200117254E";"E;EF";"éclatement;éclatement - fusion";"2001;2001"
199213040N;AVANT-GARDES ET MODERNITES POETIQUES;EA176;Inactive;1992;2000;Unité propre;21;2;200117254E;EF;éclatement - fusion;2001
199213044T;CENTRE DE RECHERCHES SUR LES SOCIETES ET CULTURES DES PAYS DE LANGUE ALLEMANDE AUX XIXEME ET XXEME SIECLES;EA182;Inactive;1992;2006;Unité propre;21;2;;;;
199213048X;LANGAGES MUSICAUX XVII`me -XIX`me SIECLES;EA205;Inactive;1992;2001;Unité propre;21;2;200214833U;EF;éclatement - fusion;2002
199213050Z;EURCARYOTES PATHOGENES : CHIMIORESISTANCE ET TRANSPORTS MEMBRANAIRES;EA209;Inactive;1992;2009;Unité propre;21;2;;;;
199213058H;CYTOLOGIE EXPERIMENTALE ET MORPHOGENESE VEGETALE (CEMV);EA260;Inactive;1992;2000;Unité propre;21;2;"200114770E;200114771F";"E;EF";"éclatement;éclatement - fusion";"2001;2001"
199213060K;PHARMACOGENETIQUE METABOLISME ET PHARMACODYNAMIE;EA276;Inactive;1992;2004;Unité propre;21;2;200515242A;E;éclatement;2005
199213061L;LABORATOIRE DE GENIE DES PROCEDES PLASMAS ET DES TRAITEMENTS DE SURFACE;EA287;Inactive;1992;2000;Unité propre;21;2;;;;
199213069V;CULTURE ET SOCIETE DANS LA CEI ET EN 'EUROPE CENTRALE ET ORIENTALE;EA344;Inactive;1992;2004;Unité propre;21;2;;;;
199213071X;IMAGE NUMERIQUE ET REALITE VIRTUELLE;EA350;Inactive;1992;2004;Unité propre;21;2;;;;
199213083K;MODELES LINGUISTIQUES ET DYNAMIQUE DES LANGUES;EA372;Inactive;1992;2000;Unité propre;21;2;;;;
199213084L;Institut de Recherches Philosophiques;IRePh;Active;1992;;Unité propre;21;2;;;;
199213087P;FORMATION DE RECHERCHES CINEMATOGRAPHIQUES (FRC);EA380;Inactive;1992;2000;Unité propre;21;2;200114734R;F;fusion;2001
199213089S;CENTRE DE DROIT INTERNATIONAL DE NANTERRE;CEDIN;Active;1992;;Unité propre;21;2;;;;
199213091U;PHARMACOLOGIE CARDIOVASCULAIRE EXPERIMENTALE ET CLINIQUE;EA392;Inactive;1992;2001;Unité propre;21;2;;;;
199213101E;Equipe de recherche sur l'utilisation des données individuelles en lien avec la théorie économique;ERUDITE;Active;1992;;Unité mixte;22;2;;;;
199213102F;LABORATOIRE D'ETUDE DU DEVELOPPEMENT ET DE L'AMENAGEMENT LOCAL ET REGIONAL (LEDALOR);EA438;Inactive;1992;2000;Unité propre;21;2;200114758S;EF;éclatement - fusion;2001
199213105J;CENTRE DE RECHERCHES INTERCULTURELLES SUR LES DOMAINES  ANGLOPHONES ET FRANCOPHONES;CRIDAF;Inactive;1992;2013;Unité propre;21;2;201420821A;F;fusion;2014
199213106K;CENTRE DE DROIT INTERNATIONAL DE L'UNIVERSITE PARIS 13 (CEDIN PARIS 13);EA455;Inactive;1992;2006;Unité propre;21;2;;;;
199213107L;CENTRE DE RECHERCHE EN ECONOMIE INDUSTRIELLE ( CREI);EA456;Inactive;1992;2000;Unité propre;21;2;200112502P;F;fusion;2001
200013109D;CONTROLE NON DESTRUCTIF PAR RAYONNEMENTS IONISANTS(CNDRI);EA459;Inactive;2000;2010;Unité propre;21;2;;;;
199513110B;PHYTO-BIOLOGIE CELLULAIRE;EA469;Inactive;1995;2002;Unité propre;21;2;200317505U;F;fusion;2003
199113112W;MICROANALYSE DES MATERIAUX;EA473;Inactive;1991;2003;Unité propre;21;2;;;;
199113114Y;PHYSIOPATHOLOGIE CARDIOVASCULAIRE ET PREVENTION;EA479;Inactive;1991;2003;Unité propre;21;2;"200415179L;200415180M";"EF;EF";"éclatement - fusion;éclatement - fusion";"2004;2004"
199113116A;EQUIPE DE CHIMIE THERAPEUTIQUE;EA482;Inactive;1991;2003;Unité propre;21;2;"200415180M;200415183R";"EF;EF";"éclatement - fusion;éclatement - fusion";"2004;2004"
199513120M;GROUPE D'ETUDE DES SUBSTANCES NATURELLES A INTERET THERAPEUTIQUE (GESNIT);EA491;Inactive;1995;2002;Unité propre;21;2;200314947N;E;éclatement;2003
199113134V;LABORATOIRE DE BACTERIOLOGIE;EA516;Inactive;1991;2002;Unité propre;21;2;"200314939E;200314943J";"E;E";"éclatement;éclatement";"2003;2003"
199113138Z;CENTRE D'ETUDES CANADIENNES (CEC);EA529;Inactive;1991;2006;Unité propre;21;2;;;;
199113146H;LABORATOIRE D'AUTOMATIQUE ET DE MICROINFORMATIQUE INDUSTRIELLE (LAMII)-CENTRE DES SCIENCES APPLIIQUEES A LA PRODUCTION;EA551;Inactive;1991;2002;Unité propre;21;2;200314973S;F;fusion;2003
199113148K;ANALYSE APPLIQUEE ET OPTIMISATION;EA555;Inactive;1991;2004;Unité propre;21;2;;;;
199113150M;LABORATOIRE INTERACTIONS MUQUEUSES - AGENTS TRANSMISSIBLES;LIMA;Inactive;1991;2011;Unité propre;21;2;201220381F;F;fusion;2012
199113151N;IMMUNOMANIPULATION ET IMMUNOSUPPRESSEURS EN ALLO ET AUTO-IMMUNITE;EA563;Inactive;1991;2002;Unité propre;21;2;;;;
199113157V;EAU MOLECULES ACTIVES MACROMOLECULES ACTIVITES;EMMA;Inactive;1991;2011;Unité propre;21;2;200715421L;I;intégration;2012
199113158W;LABORATOIRE INTERDISCIPLINAIRE DE DIDACTIQUE DES SCIENCES EXPERIMENTALES (LIDSE) en commun avec l'IUFM de Grenoble;EA582;Inactive;1991;2002;Unité mixte;22;2;;;;
199113162A;CENTRE UNIVERSITAIRE DE RECHERCHE EUROPEENNE ET INTERNATIONALE;EA605;Inactive;1991;2006;Unité propre;21;2;;;;
199113163B;GROUPE DE RECHERCHE SUR LES ENJEUX DE LA COMMUNICATION;GRESEC;Active;1991;;Unité propre;21;2;;;;
199113168G;INSTITUT DES LANGUES ET DES CULTURES D' EUROPE ET D'AMERIQUE;EA613;Inactive;1991;2014;Unité propre;21;2;201521274N;F;fusion;2015
199113187C;EQUIPE DE RECHERCHE SUR LES PROBLEMES INTERNES ET INTERNATIONAUX DU DROIT PRIVE;EA667;Inactive;1991;2002;Unité propre;21;2;200314977W;F;fusion;2003
199113190F;LABORATOIRE DE PHYSICOCHIMIE INDUSTRIELLE;EA673;Inactive;1991;2006;Unité propre;21;2;;;;
199113201T;CENTRE D'ETUDES ET DE RECHERCHES INTERNATIONALES DE MONTPELLIER (CERIM);EA713;Inactive;1991;2002;Unité propre;21;2;;;;
199113203V;CENTRE D'ETUDES ET DE RECHERCHES SUR LA THEORIE DE L'ETAT (CERTE);EA716;Inactive;1991;2002;Unité propre;21;2;;;;
199113209B;LABORATOIRE DE PSYCHOLOGIE SOCIALE;EA737;Inactive;1991;2006;Unité propre;21;2;;;;
199113217K;CENTRE D'ANALYSE THEORIQUE ET DE TRAITEMENT DES DONNEES ECONOMIQUES;CATT;Inactive;1991;2020;Unité propre;21;2;202123791Y;F;fusion;2021
199113218L;SEMIOTIQUE ET LANGAGES (INSTITUT DE RECHERCHE EN SEMIOTIQUE, COMMUNICATION ET EDUCATION - IRSCE);EA763;Inactive;1991;2002;Unité propre;21;2;;;;
199113222R;CENTRE D'ETUDES ET DE RECHERCHES SUR L'ADMINISTRATION PUBLIQUE DE SAINT-ETIENNE;EA777;Inactive;1991;2010;Unité propre;21;2;;;;
199113225U;THEORIE DES ACTES ET DU CONTROLE DES INSTITUTIONS PUBLIQUES;TACIP;Inactive;1991;2011;Unité propre;21;2;201220094U;F;fusion;2012
199113227W;LABORATOIRE D'ETUDES ET DE RECHERCHES SUR L'ECONOMIE, LES POLITIQUES ET LES SYSTEMES SOCIAUX  L E R E P S;EA790;Inactive;1991;2006;Unité propre;21;2;;;;
199113230Z;CENTRE MORRIS JANOWITZ - FORCES ARMEES ET SECURITE;EA793;Inactive;1991;2006;Unité propre;21;2;;;;
199113245R;Laboratoire d'Etudes  et de Recherches Appliquées en Sciences Sociales;LERASS;Active;1991;;Unité mixte;22;2;;;;
199113246S;LABORATOIRE D'ELECTRONIQUE LEN7;EA829;Inactive;1991;2006;Unité propre;21;2;200715385X;F;fusion;2007
199012979F;"CENTRE DE RECHERCHES LITTERAIRES ET HISTORIQUES DE L'OCEAN INDIEN
(CRLHOI)";EA11;Inactive;1990;2005;Unité propre;21;2;;;;
199012980G;OCÉAN INDIEN : ESPACES ET SOCIÉTÉS;OIES;Active;2009;;Unité propre;21;2;;;;
199212990J;LA CIVILISATION DE L'ECRIT A L'EPOQUE MODERNE ET CONTEMPORAINE : LES HOMMES ET LES TEXTES;EA81;Inactive;1992;2001;Unité propre;21;2;;;;
199212992L;CENTRE D'ANTHROPOLOGIE DES MONDES CONTEMPORAINES;EA85;Inactive;1992;2001;Unité propre;21;2;;;;
199613005H;LABORATOIRE DE GEOLOGIE DES ENVIRONNEMENTS AQUATIQUES CONTINENTAUX (GEEAC);EA2100;Inactive;1996;2007;Unité propre;21;2;;;;
199713006E;LABORATOIRE D'ANTHROPOLOGIE HISTORIQUE, POLITIQUE ET TECHNIQUE;EA2300;Inactive;1997;2004;Unité propre;21;2;;;;
199813007B;GENETIQUE MOLECULAIRE HUMAINE;EA2500;Inactive;1998;2001;Unité propre;21;2;;;;
199113175P;PRESSION ARTERIELLE, ADAPTATIONS SYSTEMIQUES ET ORGANES- CIBLES CHEZ L'HOMME;EA645;Inactive;1991;2002;Unité propre;21;2;;;;
199113176R;CENTRE DE RECHERCHE ET D'INNOVATION SUR LE SPORT;EA647;Inactive;1991;2015;Unité propre;21;2;"201622148J;201622546S";"EF;S";"éclatement - fusion;essaimage";"2016;2016"
199213362N;LABORATOIRE DE PHYSICOCHIMIE ET GENIE ALIMENTAIRE;EA1144;Inactive;1992;2004;Unité propre;21;2;200515252L;EF;éclatement - fusion;2005
199213363P;LABORATOIRE ENVIRONNEMENT GEOMECANIQUE ET OUVRAGES;LAEGO;Inactive;1992;2012;Unité mixte;22;2;;;;
199213366T;CIBLES ET MEDICAMENTS DES INFECTIONS ET DU CANCER;IICiMed;Active;1992;;Unité propre;21;2;;;;
199213370X;CENTRE DE RECHERCHE  SUR LES IDENTITÉS NATIONALES  ET L'INTERCULTURALITÉ;CRINI;Active;1992;;Unité propre;21;2;;;;
199213379G;CENTRE DE RECHERCHE SUR LES ECRITURES DE LANGUE ANGLAISE (CRELA);EA1192;Inactive;1992;2007;Unité propre;21;2;;;;
199213385N;LABORATOIRE ENERGETIQUE, EXPLOSIONS, STRUCTURES;EA1205;Inactive;1992;2007;Unité propre;21;2;200815466F;F;fusion;2008
199213269M;LABORATOIRE DE L'ATMOSPHERE TROPICALE (LPAT);EA923;Inactive;1992;2005;Unité propre;21;2;200615343F;F;fusion;2006
199213270N;GROUPE DE RECHERCHE SUR LES ENERGIES RENOUVELABLES (GRER);EA924;Inactive;1992;2009;Unité propre;21;2;;;;
199213276V;LABORATOIRE D'INFORMATIQUE D'AVIGNON;EA931;Inactive;1992;2001;Unité propre;21;2;;;;
199213281A;LITTERATURE ET LANGUE;EA950;Inactive;1992;2007;Unité propre;21;2;200815486C;F;fusion;2008
199213282B;LABORATOIRE DE  MICROBIOLOGIE DE L ENVIRONNEMENT;EA956;Inactive;1992;2011;Unité propre;21;2;201220075Y;F;fusion;2012
199213286F;CENTRE DE RECHERCHE SUR L'ANTIQUITE ET LES MYTHES;EA966;Inactive;1992;2007;Unité propre;21;2;;;;
199213292M;LABORATOIRE DE MATHEMATIQUES PURES;EA986;Inactive;1992;2003;Unité propre;21;2;199112391M;I;intégration;2004
199213293N;LABORATOIRE DE CHIMIE DES HETEROCYCLES ET DES GLUCIDES;LCHG;Inactive;1992;2011;Unité propre;21;2;201220211W;F;fusion;2012
199213303Z;LABORATOIRE D'ELECTROMECANIQUE DE COMPIEGNE;LEC;Inactive;1992;2017;Unité propre;21;2;201220262B;I;intégration;2018
199213307D;CENTRE DE DROIT DE LA RESPONSABILITE DE L'UNIVERSITE DU MAINE (CDRUM);EA1019;Inactive;1992;2007;Unité propre;21;2;200815562K;F;fusion;2008
199213308E;LABORATOIRE D'ANALYSE NUMERIQUE ET D'OPTIMISATION;EA1021;Inactive;1992;2001;Unité propre;21;2;;;;
199213309F;PROCÉDÉS BIOLOGIQUES, GÉNIE ENZYMATIQUE ET MICROBIEN;PROBIOGEM;Inactive;1992;2014;Unité propre;21;2;201521250M;EF;éclatement - fusion;2015
199213310G;LABORATOIRE DE PHYSIOLOGIE CELLULAIRE;EA1030;Inactive;1992;2001;Unité propre;21;2;;;;
199213315M;TRIGONE : FORMATIONS, APPRENTISSAGE ET SYSTEMES INTERACTIFS;EA1038;Inactive;1992;2007;Unité mixte;22;2;200815582G;F;fusion;2008
199213392W;GROUPE D'ETUDES DES MECANISMES CELLULAIRES DE L'ISCHEMIE;EA1223;Inactive;1992;2003;Unité propre;21;2;"200415068R;200417044N";"EF;EF";"éclatement - fusion;éclatement - fusion";"2004;2004"
199213397B;LABORATOIRE D'INFORMATIQUE SCIENTIFIQUE ET INDUSTRIELLE;EA1232;Inactive;1992;2011;Unité mixte;22;2;201220299S;F;fusion;2012
199213403H;CENTRE DE RECHERCHE HISTORIQUE DE L'UNIVERSITE DE RENNES 1;EA1271;Inactive;1992;2011;Unité propre;21;2;200812291E;I;intégration;2012
199213418Z;CONFIGURATIONS LITTÉRAIRES (EA 1337 - UR 1337 depuis 01.01.2020);CL;Active;1992;;Unité propre;21;2;;;;
199213419A;Linguistique, Langues et Parole (EA 1339 - UR 1339 depuis 01.01.2020);LiLPa;Active;1992;;Unité propre;21;2;;;;
199213427J;CENTRE DE RECHERCHE DE DROIT SOCIAL;EA1350;Inactive;1992;2000;Unité propre;21;2;200114674A;F;fusion;2001
199213430M;MATERIAUX A FINALITE SPECIFIQUE;EA1356;Inactive;1992;2003;Unité propre;21;2;200415094U;EF;éclatement - fusion;2004
199213434S;GROUPE DE DIDACTIQUE DES SCIENCES ET TECHNIQUES - LABORATOIRE INTERUNIVERSITAIRE DE RECHERCHE EN EDUCATION SCIENTIFIQUE ET TECHNOLOGIQUE;EA1387;Inactive;1992;2001;Unité propre;21;2;;;;
199213436U;CENTRE DE RECHERCHE TEXTE ET FRANCOPHONIES;CRTF;Inactive;1992;2013;Unité propre;21;2;201421657J;F;fusion;2014
199813438V;AUTOMATIQUE;EA1399;Inactive;1998;2009;Unité propre;21;2;;;;
199213449H;LANGUES ET LITTERATURES DE L'EGYPTE ANCIENNE;EA1435;Inactive;1992;2009;Unité propre;21;2;;;;
199213452L;CENTRE D'ETUDES BALKANIQUES (CEB);EA1440;Inactive;1992;2009;Unité propre;21;2;;;;
